audio_stop_number,object_id,media_url,title,in_gallery_version,stop_type,Summary,Comments,Keep?,media_url,audio file URL, collections URL,media_url
036,2224,p036.mp3,"Carpeaux, Les Trois Graces",1,quick,"Describes how Carpeaux caused a public outcry with his departure from neo-
classical scultpure",Reiterates what is stated on the object label,No,p036.mp3,https://audio-tours.s3.amazonaws.com/p036.mp3,http://collections.artsmia.org/art/2224,
037,1977,p037.mp3,"Corot, Silenus",1,quick,Describes how Corot reconciles an elevated subject in a natural setting,"I am left with the question of ""how was it a 
homage to the academic painting tradition""",Yes,p037.mp3,https://audio-tours.s3.amazonaws.com/p037.mp3,http://collections.artsmia.org/art/1977,
038,60157,p038.mp3,"Huet, Caretakers Cottage",1,quick,"Discusses French landscape painting and where this artwork fits into-and 
breaks with- the traditions.","The audio is an excellent companion to the
object label",Yes,p038.mp3,https://audio-tours.s3.amazonaws.com/p038.mp3,http://collections.artsmia.org/art/60157,
039,2810,p039.mp3,"Barye, Panther Devouring a Rabbit",1,quick,,,,p039.mp3,https://audio-tours.s3.amazonaws.com/p039.mp3,http://collections.artsmia.org/art/2810,
040,,p040.mp3,Egyptian Eye Symbols,1,quick,,,,p040.mp3,https://audio-tours.s3.amazonaws.com/p040.mp3,http://collections.artsmia.org/art/,
041,4946,p041.mp3,"Chapuis, Etruscan-Style Chairs",1,quick,,,,p041.mp3,https://audio-tours.s3.amazonaws.com/p041.mp3,http://collections.artsmia.org/art/4946,
042,2494,p042.mp3,"Chinard, Bust of General Brue",1,quick,"Talks about medium terra cotta, emphasis on emotion in 18th century, 
points out details in sculpture",,Yes,p042.mp3,https://audio-tours.s3.amazonaws.com/p042.mp3,http://collections.artsmia.org/art/2494,
043,,p043.mp3,"Gericault, Portrait of a Young Man",1,quick,,,,p043.mp3,https://audio-tours.s3.amazonaws.com/p043.mp3,http://collections.artsmia.org/art/,
044,58,p044.mp3,"West, Destruction of the Beast and the False Prophet",1,quick,"Describes how Romanticism allowed artists to capture enormity of nature
and humans in turmoil; it is more than a biblical story",,Yes,p044.mp3,https://audio-tours.s3.amazonaws.com/p044.mp3,http://collections.artsmia.org/art/58,
045,3061,p045.mp3,"Thomire, Clock with Vestals",1,quick,"Fascination with classical antiquity, would have been placed on a mantel, 
Marie Antoinette had a similar clock",Very interesting,YES,p045.mp3,https://audio-tours.s3.amazonaws.com/p045.mp3,http://collections.artsmia.org/art/3061,
046,1664,p046.mp3,"Reynolds, The Child Baptist in the Wilderness",1,quick,"Unfinished, chance to look at the artist's style; typical subject but 
done in atypical way",,Yes,p046.mp3,https://audio-tours.s3.amazonaws.com/p046.mp3,http://collections.artsmia.org/art/1664,
047,1838,p047.mp3,"Unknown, Lady at her Toilette",1,quick,"Lots of questions about this painting, presence of toilet, might be satirical ",A lot of interesting information,Yes,p047.mp3,https://audio-tours.s3.amazonaws.com/p047.mp3,http://collections.artsmia.org/art/1838,
049,453,p049.mp3,"Caffieri, Portrait Bust of M. de Neuville",1,quick,,,,p049.mp3,https://audio-tours.s3.amazonaws.com/p049.mp3,http://collections.artsmia.org/art/453,
059,,p059.mp3,20th C Textiles Panel - Jack Lenor Larsen,1,quick,,,,p059.mp3,https://audio-tours.s3.amazonaws.com/p059.mp3,http://collections.artsmia.org/art/,
070,61823,p070.mp3,Landscape with Scholar Viewing a Waterfall,1,quick,,,,p070.mp3,https://audio-tours.s3.amazonaws.com/p070.mp3,http://collections.artsmia.org/art/61823,
077,1317,p077.mp3,"Guardi, View up the Grand Canal",1,quick,"Points out contrast in style with Canoletto, this one shows working 
people of city vs. aristocracy, precursor to impressionism",,Yes,p077.mp3,https://audio-tours.s3.amazonaws.com/p077.mp3,http://collections.artsmia.org/art/1317,
078,1435,p078.mp3,Basin with Hercules and Cacus,1,quick,,,,p078.mp3,https://audio-tours.s3.amazonaws.com/p078.mp3,http://collections.artsmia.org/art/1435,
079,1673,p079.mp3,"Caneletto, The Grand Canal",1,quick,"Talks about artist who painted Venice a lot, colors, sense of clear 
crisp atmosphere, talks about when he went to England",Helps get into the mind of the artist,Yes,p079.mp3,https://audio-tours.s3.amazonaws.com/p079.mp3,http://collections.artsmia.org/art/1673,
080,108926,p080.mp3,"Claesz, Still LIfe",1,quick,"At the time there was large middle class, but religion against pleasures. 
Describes symbolism of object",No audio available online,X,p080.mp3,https://audio-tours.s3.amazonaws.com/p080.mp3,http://collections.artsmia.org/art/108926,
081,2808,p081.mp3,"Wouwerman, Merry and Rowdy Peasants",1,quick,"Sense of individuality in the figures, talks about artist, his ability",,No,p081.mp3,https://audio-tours.s3.amazonaws.com/p081.mp3,http://collections.artsmia.org/art/2808,
083,3156,p083.mp3,"Chantilly Factory, Bust of Louis XV",1,quick,,,,p083.mp3,https://audio-tours.s3.amazonaws.com/p083.mp3,http://collections.artsmia.org/art/3156,
084,2603,p084.mp3,"Cressent, Commode",1,quick,"Gilt bronze in shape of ivy, curcilinear movement, popular among 
Parisian elite, artist trained as sculptor",,Yes,p084.mp3,https://audio-tours.s3.amazonaws.com/p084.mp3,http://collections.artsmia.org/art/2603,
085,2730,p085.mp3,"Feilt, Lady's Writing Desk",1,quick,"Called 'bonheur du jour', where women wrote letters, carried on learning 
and discussion",Gives background info that supports the piece very well,Yes,p085.mp3,https://audio-tours.s3.amazonaws.com/p085.mp3,http://collections.artsmia.org/art/2730,
086,,p086.mp3,"Hogarth, The Sleeping Congregation",1,quick,"Stood out from other painters at time, interested in middle and 
lower classes, poking fun",No audio available online,X,p086.mp3,https://audio-tours.s3.amazonaws.com/p086.mp3,http://collections.artsmia.org/art/,
088,1726,p088.mp3,"Rube, Hebe and the Eagle of Jupiter",1,quick,,,,p088.mp3,https://audio-tours.s3.amazonaws.com/p088.mp3,http://collections.artsmia.org/art/1726,
089,1959,p089.mp3,"Clesinger, Bacchante and Faun",1,quick,"Talks about subject matter, was popular at the time, plasticity of the marble",,Yes,p089.mp3,https://audio-tours.s3.amazonaws.com/p089.mp3,http://collections.artsmia.org/art/1959,
090,3276,p090.mp3,"Belleuse, Love and Friendship",1,quick,,,,p090.mp3,https://audio-tours.s3.amazonaws.com/p090.mp3,http://collections.artsmia.org/art/3276,
091,1934,p091.mp3,"Courbet, Chateau at Ornans",1,quick,,,,p091.mp3,https://audio-tours.s3.amazonaws.com/p091.mp3,http://collections.artsmia.org/art/1934,
092,4284,p092.mp3,"Crema, Triptych: Prisoners of the Mtn. Mist",1,quick,,,,p092.mp3,https://audio-tours.s3.amazonaws.com/p092.mp3,http://collections.artsmia.org/art/4284,
093,,p093.mp3,"Reiber, Clock",1,quick,,,,p093.mp3,https://audio-tours.s3.amazonaws.com/p093.mp3,http://collections.artsmia.org/art/,
094,4381,p094.mp3,"Herter Brothers, Chest of Drawers w/ Mirror",1,quick,,,,p094.mp3,https://audio-tours.s3.amazonaws.com/p094.mp3,http://collections.artsmia.org/art/4381,
095,1417,p095.mp3,"Vuillard, The Sunny Room",1,quick,,,,p095.mp3,https://audio-tours.s3.amazonaws.com/p095.mp3,http://collections.artsmia.org/art/1417,
096,1416,p096.mp3,"Vuillard, Place St. Augustin",1,quick,,,,p096.mp3,https://audio-tours.s3.amazonaws.com/p096.mp3,http://collections.artsmia.org/art/1416,
097,1477,p097.mp3,"Signac, Blessing of the Tuna Fleet",1,quick,,,,p097.mp3,https://audio-tours.s3.amazonaws.com/p097.mp3,http://collections.artsmia.org/art/1477,
098,5373,p098.mp3,Wheel Lock Rifles,1,quick,,,,p098.mp3,https://audio-tours.s3.amazonaws.com/p098.mp3,http://collections.artsmia.org/art/5373,
099,3589,p099.mp3,"Mignard, Venus and Adonis",1,quick,,,,p099.mp3,https://audio-tours.s3.amazonaws.com/p099.mp3,http://collections.artsmia.org/art/3589,
100,7020,p100.mp3,"Marinari, Salome with Head of St John the Baptist",1,quick,"Describes two techniques of Renaissance painting: chiaroscuro, sfumato","I like how this one choose one theme to talk 
about, asks the viewer to look around the 
gallery for these techniques in other paintings. 
Fun!",Yes,p100.mp3,https://audio-tours.s3.amazonaws.com/p100.mp3,http://collections.artsmia.org/art/7020,
101,3385,p101.mp3,Standing Figure w/Pan Pipes,1,quick,,,,p101.mp3,https://audio-tours.s3.amazonaws.com/p101.mp3,http://collections.artsmia.org/art/3385,
102,4042,p102.mp3,"Tevau, (feather currency)",1,quick,,,,p102.mp3,https://audio-tours.s3.amazonaws.com/p102.mp3,http://collections.artsmia.org/art/4042,
103,177,p103.mp3,"Tahiti, Turtle",1,quick,,,,p103.mp3,https://audio-tours.s3.amazonaws.com/p103.mp3,http://collections.artsmia.org/art/177,
105,,p105.mp3,Scholar's Study,1,quick,,,,p105.mp3,https://audio-tours.s3.amazonaws.com/p105.mp3,http://collections.artsmia.org/art/,
106,4324,p106.mp3,Jade Mountain  (2 labels),1,quick,,,,p106.mp3,https://audio-tours.s3.amazonaws.com/p106.mp3,http://collections.artsmia.org/art/4324,
107,,p107.mp3,Landscape of the Four Seasons Screen,1,quick,,,,p107.mp3,https://audio-tours.s3.amazonaws.com/p107.mp3,http://collections.artsmia.org/art/,
108,1602,p108.mp3,White Herons in Plum and Willow screen,1,quick,,,,p108.mp3,https://audio-tours.s3.amazonaws.com/p108.mp3,http://collections.artsmia.org/art/1602,
109,676,p109.mp3,A King Picnicking in the Mountains,1,quick,,,,p109.mp3,https://audio-tours.s3.amazonaws.com/p109.mp3,http://collections.artsmia.org/art/676,
110,611,p110.mp3,Winged Genius,1,quick,,,,p110.mp3,https://audio-tours.s3.amazonaws.com/p110.mp3,http://collections.artsmia.org/art/611,
112,1235,p112.mp3,"Luba, Dance Mask",1,quick,,,,p112.mp3,https://audio-tours.s3.amazonaws.com/p112.mp3,http://collections.artsmia.org/art/1235,
113,4855,p113.mp3,"Mangbetu, Vessel in Shape of Female Head",1,quick,,,,p113.mp3,https://audio-tours.s3.amazonaws.com/p113.mp3,http://collections.artsmia.org/art/4855,
114,4030,p114.mp3,"Yombe, Mother and Child",1,quick,,,,p114.mp3,https://audio-tours.s3.amazonaws.com/p114.mp3,http://collections.artsmia.org/art/4030,
115,1854,p115.mp3,"Kongo, Nkisi Nkondi",1,quick,,,,p115.mp3,https://audio-tours.s3.amazonaws.com/p115.mp3,http://collections.artsmia.org/art/1854,
116,5637,p116.mp3,"Bwa, Plank Mask",1,quick,,,,p116.mp3,https://audio-tours.s3.amazonaws.com/p116.mp3,http://collections.artsmia.org/art/5637,
117,3210,p117.mp3,Diptych with scenes from the life of Christ,1,quick,,,,p117.mp3,https://audio-tours.s3.amazonaws.com/p117.mp3,http://collections.artsmia.org/art/3210,
120,,p120.mp3,Southwest Pottery and Basketry Panel,1,quick,,,,p120.mp3,https://audio-tours.s3.amazonaws.com/p120.mp3,http://collections.artsmia.org/art/,
122,,p122.mp3,Great Plains Region Panel,1,quick,,,,p122.mp3,https://audio-tours.s3.amazonaws.com/p122.mp3,http://collections.artsmia.org/art/,
123,,p123.mp3,"Ernest Whiteman, Untitled",1,quick,,,,p123.mp3,https://audio-tours.s3.amazonaws.com/p123.mp3,http://collections.artsmia.org/art/,
124,4418,p124.mp3,"Gabriel Metsu, Portrait of a Lady",1,quick,,,,p124.mp3,https://audio-tours.s3.amazonaws.com/p124.mp3,http://collections.artsmia.org/art/4418,
125,5747,p125.mp3,"Claude Lorrain, Pastoral Landscape",1,quick,"Talks about the artist, how he painted light, colors of the hills and river",Long,No,p125.mp3,https://audio-tours.s3.amazonaws.com/p125.mp3,http://collections.artsmia.org/art/5747,
126,1348,p126.mp3,"Nicolas Poussin, The Death of Germanicus",1,quick,"Talks about the story behind the painting, describes different figures, 
significance of loyalty, symbol of shift from loyalty to the 
church to loyalty to the state",music in the begining drowns out the speaker,No,p126.mp3,https://audio-tours.s3.amazonaws.com/p126.mp3,http://collections.artsmia.org/art/1348,
127,529,p127.mp3,"Rembrandt van Rijn, Lucretia",1,quick,"Talks about story of Lucretia, link to artist's own emotional 
struggle at time of painting this",Very interesting,Yes,p127.mp3,https://audio-tours.s3.amazonaws.com/p127.mp3,http://collections.artsmia.org/art/529,
128,,p128.mp3,"Pierre-Paul Prud'hon, The Union of Love and Friendship",1,quick,"Talks about Cupid, mystery of identity of the female figure, colors & 
shading, sfumato","Pretty brief, the part about the colors is helpful",Yes,p128.mp3,https://audio-tours.s3.amazonaws.com/p128.mp3,http://collections.artsmia.org/art/,
129,1451,p129.mp3,"Paul de Lamerie, Wine cistern",1,quick,,,,p129.mp3,https://audio-tours.s3.amazonaws.com/p129.mp3,http://collections.artsmia.org/art/1451,
130,1629,p130.mp3,"Bertel Thorvaldsen, Ganymede and the Eagle",1,quick,Talks about story behind subject matter,Basically same as label,No,p130.mp3,https://audio-tours.s3.amazonaws.com/p130.mp3,http://collections.artsmia.org/art/1629,
131,1226,p131.mp3,"Francisco de Goya, Self-Portrait with Dr. Arrieta",1,quick,Describes the circumstances behind the subject matter,"Not on view (01/27/2016). 
Similar to the object label.",Yes,p131.mp3,https://audio-tours.s3.amazonaws.com/p131.mp3,http://collections.artsmia.org/art/1226,
132,53,p132.mp3,"Gustave Courbet, Deer in the Forest",1,quick,"Discusses how this was the first major European painting to enter the MIA's
collection; goes on to mention James J. Hill. ",I found the object label to be more engaging,Yes,p132.mp3,https://audio-tours.s3.amazonaws.com/p132.mp3,http://collections.artsmia.org/art/53,
133,,p133.mp3,"Claude Monet, Grainstack: Sun in the Mist",1,quick,,,,p133.mp3,https://audio-tours.s3.amazonaws.com/p133.mp3,http://collections.artsmia.org/art/,
134,1218,p134.mp3,"Vincent van Gogh, Olive Trees",1,quick,,,,p134.mp3,https://audio-tours.s3.amazonaws.com/p134.mp3,http://collections.artsmia.org/art/1218,
